fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url
2025-11-29 17:37:02;La Reina;casa;Casa En Condominio Con Piscina, La Reina Alta 4 Dorm Y Serv;18990;CLF;4 dormitorios;4 baños;210 m² útiles;4 dormitorios | 4 baños | 210 m² útiles;Carlos Silva Vildósola, La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Ubicada En Calle Tranquila Y Condominio.;12375;CLF;3 dormitorios;2 baños;139 m² útiles;3 dormitorios | 2 baños | 139 m² útiles;La Reina, La Reina Alta;
2025-11-29 17:37:02;La Reina;casa;Impecable: Remodelada En Pasaje Cerrado,buena Conectividad;8900;CLF;3 dormitorios;3 baños;104 m² útiles;3 dormitorios | 3 baños | 104 m² útiles;Av. Simón Bolívar, Metro Simón Bolivar, La Reina;
2025-11-29 17:37:02;La Reina;casa;Imponente Living De 5m Altura Y Jardín Panorámico;18800;CLF;6 dormitorios;5 baños;220 m² útiles;6 dormitorios | 5 baños | 220 m² útiles;CARLOS SILVA VILDOSOLA Y JULIA BERSTEIN, La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Espaciosa Casa, Gran Patio;13500;CLF;4 dormitorios;4 baños;157 m² útiles;4 dormitorios | 4 baños | 157 m² útiles;AVENIDA SIMÓN BOLÍVAR 7831, Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Colegio British C_423631;15400;CLF;5 dormitorios;4 baños;168 m² útiles;5 dormitorios | 4 baños | 168 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Paque Padre Hurtado C_423637;15500;CLF;5 dormitorios;4 baños;248 m² útiles;5 dormitorios | 4 baños | 248 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Reina Alta C_423503;16680;CLF;4 dormitorios;3 baños;200 m² útiles;4 dormitorios | 3 baños | 200 m² útiles;La Reina Alta, La Reina;
2025-11-29 17:37:02;La Reina;casa;Perez Rosales/vpuelma/ossandon C_423397;13300;CLF;4 dormitorios;3 baños;150 m² útiles;4 dormitorios | 3 baños | 150 m² útiles;Carlos Ossandón, La Reina;
2025-11-29 17:37:02;La Reina;casa;Reina Alta C_423497;16680;CLF;4 dormitorios;3 baños;200 m² útiles;4 dormitorios | 3 baños | 200 m² útiles;La Reina Alta, La Reina;
