fecha_extraccion;comuna;tipo_propiedad;titulo;precio;moneda;dormitorios;banos;metros_utiles;caracteristicas_raw;ubicacion;url;latitud;longitud;direccion_geocoded
2025-11-29 18:02:19;La Reina;departamento;Townhouse Con Azotea, 3d/3b/2e, Mall Y Metro Plaza Egaña;10980;CLF;3 dormitorios;3 baños;94 m² útiles;3 dormitorios | 3 baños | 94 m² útiles;Paula Jaraquemada 300 - 600, La Reina, Blest Gana, La Reina;;-33.4559889;-70.568067;Paula Jaraquemada 300 - 600, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Oferta Exclusiva!! Bajo Valor Comercial Dpto La Reina 3d 1b;5200;CLF;3 dormitorios;1 baño;83 m² útiles;3 dormitorios | 1 baño | 83 m² útiles;Mateo De Toro Y Zambrano 1395, La Reina, Región Metropolitana De Santiago 7850000, Chile, La Reina;;-33.4410912;-70.5549534;Mateo De Toro Y Zambrano 1395, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En Country Club Con Terraza;8300;CLF;3 dormitorios;3 baños;100 m² útiles;3 dormitorios | 3 baños | 100 m² útiles;Las Arañas 5838, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4312848;-70.57214;Las Arañas 5838, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Impecable En Zona Muy Residencial;7700;CLF;2 dormitorios;2 baños;74 m² útiles;2 dormitorios | 2 baños | 74 m² útiles;Av. Simón Bolívar 7494, La Reina, Palmas De Mallorca, La Reina;;-33.4443922;-70.5534736;Av. Simón Bolívar 7494, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En La Reina Con Terraza;9900;CLF;4 dormitorios;3 baños;107 m² útiles;4 dormitorios | 3 baños | 107 m² útiles;Las Arañas 5800, La Reina, Metro Príncipe De Gales - Country Club, La Reina;;-33.4312848;-70.57214;Las Arañas 5800, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta De 1 Dorm. En La Reina;4600;CLF;1 dormitorio;1 baño;44 m² útiles;1 dormitorio | 1 baño | 44 m² útiles;Echenique/Avenida Ossa, Metro Simón Bolivar, La Reina;;-33.4453474;-70.5711941;Echenique/Avenida Ossa, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Deptos Nuevos Vespucio/blest Gana, Lindo Proyecto 13 Pisos;6050;CLF;2 dormitorios;2 baños;78 m² útiles;2 dormitorios | 2 baños | 78 m² útiles;Americo Vespucio/Blest Gana, Blest Gana, La Reina;;-33.4509916;-70.5709966;Americo Vespucio/Blest Gana, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Precioso Departamento En Venta En Privilegiado Sector!!;6150;CLF;2 dormitorios;2 baños;65 m² útiles;2 dormitorios | 2 baños | 65 m² útiles;Mall Plaza Egaña, Metro Simón Bolivar, La Reina;;-33.4519071;-70.56871;Mall Plaza Egaña, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;¡oportunidad Hermoso Dpto De 4d+2est La Reina!;6990;CLF;4 dormitorios;3 baños;95 m² útiles;4 dormitorios | 3 baños | 95 m² útiles;Helsinski, 5700 - 6000, Blest Gana, La Reina;;-33.4565182;-70.5705666;Helsinski, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta De 3 Dorm. Rebajado 6.500 Uf La Reina.;6500;CLF;3 dormitorios;2 baños;91 m² útiles;3 dormitorios | 2 baños | 91 m² útiles;Country Club, The Grange School, Metro Príncipe De Gales - Country Club, La Reina;;-33.4349569;-70.570725;Country Club, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta De 3 Dorm. En La Reina;14450;CLF;3 dormitorios;3 baños;150 m² útiles;3 dormitorios | 3 baños | 150 m² útiles;Álvaro Casanova 1453, La Reina Alta, La Reina;;-33.4428698;-70.5185923;Álvaro Casanova 1453, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En Metro Plaza Egaña;7800;CLF;4 dormitorios;2 baños;125 m² útiles;4 dormitorios | 2 baños | 125 m² útiles;Av. Larraín 5700 - 6000, La Reina, Metro Simón Bolivar, La Reina;;-33.4534835;-70.5696038;Av. Larraín 5700 - 6000, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta De 2 Dorm. En La Reina;10180;CLF;2 dormitorios;3 baños;134 m² útiles;2 dormitorios | 3 baños | 134 m² útiles;Alvaro Casanova/El Sendero, La Reina Alta, La Reina;;-32.9015989;-71.2639826;Alvaro Casanova/El Sendero, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Depto 2d/2b/1e/1b En Metro Plaza Egaña;6600;CLF;2 dormitorios;2 baños;82 m² útiles;2 dormitorios | 2 baños | 82 m² útiles;Metro Simón Bolivar, La Reina;;-33.4461845;-70.5719261;Simón Bolivar, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;En Venta Exclusivo Townhouse Cercano A Mall Plaza Egaña;8500;CLF;3 dormitorios;3 baños;121 m² útiles;3 dormitorios | 3 baños | 121 m² útiles;Avenida Javiera Carrera Sur, Francisco De Villagra, La Reina;;-34.1871216;-70.7257122;Avenida Javiera Carrera Sur, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En La Reina;10300;CLF;3 dormitorios;3 baños;102 m² útiles;3 dormitorios | 3 baños | 102 m² útiles;Las Arañas, La Reina, Chile, Metro Príncipe De Gales - Country Club, La Reina;;-33.4312848;-70.57214;Las Arañas, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Amplio Moderno Depto 3d+3b+estar+2e+1b;10850;CLF;4 dormitorios;3 baños;120 m² útiles;4 dormitorios | 3 baños | 120 m² útiles;Las Perdices, La Reina, La Reina;;-33.4607843;-70.5305924;Las Perdices, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Venta Hermoso Y Funcional Depto.obispo Del Solar 5711, 2 Est;10200;CLF;3 dormitorios;2 baños;103 m² útiles;3 dormitorios | 2 baños | 103 m² útiles;Obispo Del Solar 5711, La Reina, Chile, Metro Simón Bolivar, La Reina;;-33.4510596;-70.5702515;Obispo Del Solar 5711, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Venta Departamento Con Excelente Ubicación Y Ameni...;6605;CLF;2 dormitorios;2 baños;71 m² útiles;2 dormitorios | 2 baños | 71 m² útiles;La Reina;;-33.442282;-70.5432729;La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento En Venta En La Cañada;7650;CLF;;2 baños;78 m² útiles;2 baños | 78 m² útiles;LA CAÑADA / LORELEY, Palmas De Mallorca, La Reina;;-33.4419956;-70.5677061;LA CAÑADA / LORELEY, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento Mariposa En Ñuñoa;7149;CLF;2 dormitorios;2 baños;56 m² útiles;2 dormitorios | 2 baños | 56 m² útiles;Avenida Irarrazaval, 5400 - 5700, Metro Simón Bolivar, La Reina;;-33.4536235;-70.6211998;Avenida Irarrazaval, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Venta Moderno Departamento Gran Vista, Ubicación I...;8000;CLF;3 dormitorios;2 baños;78 m² útiles;3 dormitorios | 2 baños | 78 m² útiles;La Reina, Troncos Viejos;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Sin Comisión ! Precioso Departamento De Un Piso Co...;9662;CLF;3 dormitorios;2 baños;100 m² útiles;3 dormitorios | 2 baños | 100 m² útiles;La Reina, Francisco De Villagra;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento Con Jardín Venta La Reina;13900;CLF;3 dormitorios;2 baños;130 m² útiles;3 dormitorios | 2 baños | 130 m² útiles;La Reina, La Reina Alta;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Lindo Y Amplio Departamento Metro Plaza Egaña;8800;CLF;3 dormitorios;2 baños;120 m² útiles;3 dormitorios | 2 baños | 120 m² útiles;La Reina, Metro Simón Bolivar;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Oportunidad! Departamento En Condominio En Un Ento...;7980;CLF;3 dormitorios;2 baños;95 m² útiles;3 dormitorios | 2 baños | 95 m² útiles;La Reina, Palmas De Mallorca;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Espectacular Duplex En Venta Chacra Los Olmos La R...;18200;CLF;4 dormitorios;4 baños;243 m² útiles;4 dormitorios | 4 baños | 243 m² útiles;La Reina, La Reina Alta;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento Amplio Con Espectacular Azotea De Uso...;16100;CLF;3 dormitorios;4 baños;162 m² útiles;3 dormitorios | 4 baños | 162 m² útiles;La Reina, La Reina Alta;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Se Vende Hermoso Departamento Inserto En Sector Pr...;15950;CLF;3 dormitorios;3 baños;188 m² útiles;3 dormitorios | 3 baños | 188 m² útiles;Santiago, La Reina Alta, La Reina;;-33.4430242;-70.5337236;Santiago, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;La Reina Alta, Departamento En Venta Chacra Los Ol...;14500;CLF;4 dormitorios;3 baños;178 m² útiles;4 dormitorios | 3 baños | 178 m² útiles;La Reina, La Reina Alta;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Departamento Con Gran Vista, La Reina;11900;CLF;4 dormitorios;3 baños;128 m² útiles;4 dormitorios | 3 baños | 128 m² útiles;La Reina, Metro Príncipe De Gales - Country Club;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;¡departamento En Venta! Ubicación Inmejorable Y Al...;10790;CLF;3 dormitorios;3 baños;127 m² útiles;3 dormitorios | 3 baños | 127 m² útiles;La Reina, Metro Príncipe De Gales - Country Club;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Black Property. Exclusivo Departamento Con Patio. ...;10877;CLF;3 dormitorios;2 baños;112 m² útiles;3 dormitorios | 2 baños | 112 m² útiles;La Reina, Palmas De Mallorca;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
2025-11-29 18:02:19;La Reina;departamento;Venta Hermoso Departamento Con Jardín La Reina Alt...;14700;CLF;4 dormitorios;3 baños;140 m² útiles;4 dormitorios | 3 baños | 140 m² útiles;La Reina, La Reina Alta;;-33.4430242;-70.5337236;La Reina, La Reina, Santiago, Chile
